hour_number,price,to_drop,demand,capacity
20240219-9,27.57,DSO-RD;,16643,25105
20240219-10,27.4,DSO-RD;,16586,25552
20240219-11,27.16,DSO-RD;,16259,25248
20240219-12,26.28,DSO-RD;,15983,25157
20240219-13,25.55,DSO-RD;,15836,25245
20240219-14,22.64,DSO-RD;,15724,25211
20240219-15,22.62,DSO-RD;,15779,25165
20240219-16,23.41,DSO-RD;,16312,25145
20240219-17,26.27,DSO-RD;,17423,25119
20240219-18,40.36,DSO-RD;,18445,24977
20240219-19,33.83,DSO-RD;,18745,25004
20240219-20,33.8,DSO-RD;,18328,25297
20240219-21,25.54,DSO-RD;,17862,25509
20240219-22,25.76,DSO-RD;,17195,24976
20240219-23,25.62,DSO-RD;,16367,25041
20240219-24,26.74,DSO-RD;,15757,25218
20231219-1,12.73,DSO-RD;,14934,29069
20231219-2,14.24,DSO-RD;,14639,28879
20231219-3,13.37,DSO-RD;,14434,28735
20231219-4,14.07,DSO-RD;,14426,28653
20231219-5,12.91,DSO-RD;,14490,28486
20231219-6,23.97,DSO-RD;,15085,28046
20231219-7,31.35,DSO-RD;,16376,27887
20231219-8,31.99,DSO-RD;,17959,27610
20231219-9,31.56,DSO-RD;,18456,27376
20231219-10,32.88,DSO-RD;,18647,27037
20231219-11,33.6,DSO-RD;,18620,26503
20231219-12,32.69,DSO-RD;,18284,26195
20231219-13,29.72,DSO-RD;,17844,26218
20231219-14,28.16,DSO-RD;,17623,26303
20231219-15,27.98,DSO-RD;,17631,26451
20231219-16,31.64,DSO-RD;,18165,26295
20231219-17,36.72,DSO-RD;,19035,26457
20231219-18,36.02,DSO-RD;,19717,26453
20231219-19,33.11,DSO-RD;,19324,26548
20231219-20,32.67,DSO-RD;,19138,26827
20231219-21,32.06,DSO-RD;,18789,27121
20231219-22,29.28,DSO-RD;,18006,27320
20231219-23,27.82,DSO-RD;,17086,27907
20231219-24,21.65,DSO-RD;,15942,28094
20231231-1,34.3,DSO-RD;,14176,26190
20231231-2,33.32,DSO-RD;,13834,26190
20231231-3,25.96,DSO-RD;,13578,26184
20231231-4,31.71,DSO-RD;,13469,26118
20231231-5,31.01,DSO-RD;,13451,26063
20231231-6,31.37,DSO-RD;,13601,25976
20231231-7,22.58,DSO-RD;,13739,26013
20231231-8,16.67,DSO-RD;,14368,26032
20231231-9,23.39,DSO-RD;,14874,26165
20231231-10,26.89,DSO-RD;,15507,26234
20231231-11,28.63,DSO-RD;,15926,26301
20231231-12,30.61,DSO-RD;,16354,26387
20231231-13,34.01,DSO-RD;,16792,26194
20231231-14,35.87,DSO-RD;,17013,26013
20231231-15,36.18,DSO-RD;,17158,26009
20231231-16,35.8,DSO-RD;,17279,25988
20231231-17,34.8,DSO-RD;,17700,25967
20231231-18,35.19,DSO-RD;,18017,26015
20231231-19,43.29,DSO-RD;,17570,26011
20231231-20,32.73,DSO-RD;,17114,26011
20231231-21,30.38,DSO-RD;,16499,26121
20231231-22,27.12,DSO-RD;,15939,26183
20231231-23,27.27,DSO-RD;,15328,26144
20231231-24,27.79,DSO-RD;,14942,26168
20231225-1,25.88,DSO-RD;,13103,26830
20231225-2,24.6,DSO-RD;,12819,26854
20231225-3,25.63,DSO-RD;,12552,26695
20231225-4,30.89,DSO-RD;,12560,26751
20231225-5,25.56,DSO-RD;,12648,26628
20231225-6,24.36,DSO-RD;,12756,26726
20231225-7,24.2,DSO-RD;,13099,26926
20231225-8,17.67,DSO-RD;,13690,26974
20231225-9,19.01,DSO-RD;,14250,27258
20231225-10,21.9,DSO-RD;,14733,27285
20231225-11,24.24,DSO-RD;,15089,27243
20231225-12,24.29,DSO-RD;,15261,27110
20231225-13,24.27,DSO-RD;,15067,26993
20231225-14,24.25,DSO-RD;,15054,26970
20231225-15,24.9,DSO-RD;,15329,26883
20231225-16,24.26,DSO-RD;,15541,26994
20231225-17,23.49,DSO-RD;,15769,27176
20231225-18,23.51,DSO-RD;,15795,27442
20231225-19,25.38,DSO-RD;,15174,27679
20231225-20,17.48,DSO-RD;,14816,27911
20231225-21,14.38,DSO-RD;,14641,28017
20231225-22,17.38,DSO-RD;,14376,28045
20231225-23,19.55,DSO-RD;,13773,27880
20231225-24,25.23,DSO-RD;,13185,27878
20231224-1,28.58,DSO-RD;,13907,25900
20231224-2,30.59,DSO-RD;,13455,25901
20231224-3,31.55,DSO-RD;,13224,25872
20231224-4,32.0,DSO-RD;,13006,25857
20231224-5,27.64,DSO-RD;,12997,25869
20231224-6,25.09,DSO-RD;,13164,25877
20231224-7,31.9,DSO-RD;,13612,25285
20231224-8,31.78,DSO-RD;,14440,25286
20231224-9,26.34,DSO-RD;,15209,25370
20231224-10,27.36,DSO-RD;,15817,25450
20231224-11,28.4,DSO-RD;,16151,26124
20231224-12,41.27,DSO-RD;,16658,26201
20231224-13,44.77,DSO-RD;,16823,26150
20231224-14,32.4,DSO-RD;,16664,26237
20231224-15,36.28,DSO-RD;,16661,26248
20231224-16,32.2,DSO-RD;,16780,26120
20231224-17,32.26,DSO-RD;,16935,26129
20231224-18,27.49,DSO-RD;,16877,26181
20231224-19,28.59,DSO-RD;,16296,26235
20231224-20,32.75,DSO-RD;,15764,26342
20231224-21,29.74,DSO-RD;,15426,26509
20231224-22,26.9,DSO-RD;,14935,26597
20231224-23,24.44,DSO-RD;,14378,26692
20231224-24,24.5,DSO-RD;,13767,26719
20231230-1,30.63,DSO-RD;,14005,26514
20231230-2,27.34,DSO-RD;,13548,26416
20231230-3,24.98,DSO-RD;,13293,26416
20231230-4,26.89,DSO-RD;,13189,26422
20231230-5,29.38,DSO-RD;,13389,26497
